Module Name,Associated Masters,Purpose,Associated Reports
1. Dashboard,"Employee Master, Role/Permissions Master","Role-based homepage with stats, charts, alerts, widgets for quick overview based on permissions.","Dashboard Report, KPI/Business Intelligence Report"
2. Attendance & payroll,"Employee Master, Designation Master, Shift Master","Manage employee attendance, leave management, payroll calculations, and send alerts.","Attendance Report, Late coming Report, Early Exit Report, Absenteeism Report, In-Out/Punch Report, Salary Slip, Leave Report, PF & ESI, Tax Report, Advance & Loan, Bonus, Salary Register, CTC, Target/Overtime"
3. Master Search (Multi-Module Search),All Masters,"Universal multi-module search across job cards, history, references, master data, and reverse warranty tracking.",Master Search Results
4. Appointment,"Customer
Customer Vehicle - Brand, Model, Variant
Employee - Advisor/CRM In Charge
Department
Service Type - General Service, PMS, Express Service (Quick Repair), Repeat Job, Ins. Job,  Non Ins. Job
Holiday / Non-Working Days - Date, Holiday Name, Type (Full Day / Half Day)
Time Slot Master - Slot Start Time, Slot End Time, Max Vehicles per Slot, Buffer Time (Optional) eg. 09:00–10:00, 10:00–11:00, 12:00–01:00, 02:00–03:00
Priority Order - Normal, High, Urgent
Booking Channel - Walk-in, Phone Call, Website, Mobile App, WhatsApp, Email, CRM, Referral
Pickup/Drop option - Customer Self Drop, Workshop Pickup Only, Workshop Drop Only, Workshop Pickup & Drop Both, Customer Self Towing, Workshop Towing, Doorstep Inspection
Job Description/Customer Complaints - Suspension Noise, AC Not Working, Brake not working properly
Cancel Reason - Customer Not Available, Wrong Address, Vehicle Not Ready, Driver Unavailable
Pending Reason - Customer Request, Traffic Issue
Appointment Status - Pending, Rescheduled, Driver Assigned, Driver on the Way, Vehicle Collected, Vehicle Delivered, Completed, Cancelled
Reminder Settings/Notification Setting - SMS / WhatsApp / Email triggers - Pickup Scheduled, Drop Scheduled, Driver Assigned, Vehicle Collected, Vehicle Delivered
Appointment Series
","Book appointments via app/web/phone, assign technician, pickup details, and time slots.",Appointment Report
5. Pickup/Drop,"Pickup/Drop Type - Vehicle Pickup Only, Vehicle Drop Only, Vehicle Pickup & Drop Both, Self Towing, Vendor Towing, Doorstep Inspection
Customer
Customer Vehicle
Pickup Address -  State, City, Area
Drop Address - State, City, Area
Distance Slab - 0–5 KM @ 200, 6–15 KM @ Rs.300, 16–25 KM @ Rs.400
Employee - Advisor, Driver
Vendor
Department
Service Type
Job Description/Customer Complaints
Time Slot - 09:00–10:00, 10:00–11:00, 12:00–01:00, 02:00–03:00
Vehicle Condition/Vehicle Photo Type(Camera Image Capture) - Odometer, Interior View, Fr View, Lh View, Rh View, Rr View, Top View, Bottom View,
Document Checklist
Pickup/Drop Status - Pending, Driver Assigned, Driver on the Way, Vehicle Collected, Vehicle Delivered, Cancelled, Completed
Pending Reason
Reschedule Reason - Customer Request, Traffic Issue,
Cancel Reason - Customer Not Available, Wrong Address, Vehicle Not Ready, Driver Unavailable
Notification Setting - Pickup Scheduled, Drop Scheduled, Driver Assigned, Vehicle Collected, Vehicle Delivered
OTP Verification (Optional/Mandatory) - Vehicle Pickup OTP, Vehicle Delivery OTP
Dashboard - Today's Pickups, Today's Deliveries, Pending Pickups, Pending Drops, Delayed Deliveries
Pickup/Drop Series
","Schedule pickup/drop, tracking status, driver assignment, and time slots.","Gate Pass Report, Pickup/Drop History"
6. Inward/Outward,"Customer Vehicle - Model
Parking Slot - Slot No. 1, Slot No. 2, Slot No. 3, Outside of gate
Job Card Reference
Job Status - Pending, Completed, Cancelled, All
","Record vehicle entry/exit, capture images via camera, trial/final outward types.","Inward/Outward Register, Vehicle Inward Analysis"
7. Job Card,"Customer (State/City/Area/Zip Code/Customer Type/GST Type)
Customer Vehicle (Brand/Model/Variant/Fuel Type/Transmission Type/Vehicle Type (Hatchback/Sedan/SUV/Luxury)/VI/Segment/Colour/Registration Type
Damage Type - Scratch, Dent, Crack, Rust, Broken, Paint Fade
Department
Service Type
Insurance Company
Employee
Vendor (Vendor Type -Service Provider/Parts Supplier…)
Inventory Inside Vehicle (Customer Belonging)
Complaint Master/Job Type/Job Description - Mechanical/Bodyshop… (Frequent/Custom)
Service Package - Periodic Service Package, Accident Repair Package, Combo Offers
Requested Repairs(Other than above) - Misc
Photo Type (Damage Close-up, Odometer, Engine Bay), Customer Approval Option","Record complaints, suggested service, T&Cs, inventory, photo capture, service status.","Job Card Report, WIP Report"
7. Job History,"Pending Reason
Job Stage/Current Status (Tree) - regular/ins. - Document collection, Claim Intimation, Surveyor Inspection, Estimate Approval, Repair, Billing, Claim Settlement & Delivery","Service Status Tracking, Status Tree, date/time wise status, promised date.",WIP Report
8. Document Collection,"Document Collection Request Type (Source) - Insurance Claim, Customer
Document Collection Purpose - Insurance Process Flow, Vehicle Ownership Confirmation, Payment Limit Exceed, Repair Authorization
Department
Service Type - Ins. Job, Non. Ins. Job, PMS, General Service, Express Service (Quick Repair), Repeat Job
Employee - Advisor (created by)/Driver (doc collected by)
Job Card Reference
Customer
Customer Vehicle
Document Checklist - RC Book, Insurance Policy, Driving License, Aadhar, PAN, Claim Intimation Copy, FIR Copy, Claim Form Signed Copy, Photos of Damage, PUC,
Verification Checklist - Name Match, Vehicle Number Match, Policy Validity, Signature Match
Insurance Company - State, City, Area
Insurance Policy Type - Comprehensive, Third Party, Zero Dep, Corporate
Claim Type - Cashless, Reimbursement, Accident, Theft, Total Loss
Document Collection Status - Pending, Requested, Received, Rejected, Cancelled
Missing Document Reason - Document Lost, Customer Not Submitted,
Rejection Reason - Expired Document, Unreadable Copy, Invalid Document,
Follow-up Mode - Telephonic Call, SMS, WhatsApp, Email, Physical Visit
Auto Reminder Frequency - Daily, Every 2 Days, Custom
File Attachment Type - PDF, JPG, PNG, DOCX
Document Retention - Active, Archive, Delete (auto delete after specific days of billed)
","Collect customer ID/Insurance docs, digital signature, and maintain checklist.",Document Collection Report
9. VIO (Vehicle Inspection Order),"Job Card Reference
Department
Service Type
Employee - Advisor, Technician
Bay
Csutomer Complaint/Job Description/Service Package/Combo Package/AMC Package/ - PMS, Fr side Noise, Rear Side Noise
Work Priority - Normal, High, Urgent
Inspection Template - PMS, Tyre, Bodyshop…
Time Tracking - Assigned Time, Accepted Time, Start Time, End Time (Pause Time, Resume Time)
Inspection Photo / Phot Evidence - Before Work, After Work (Item wise)
Inspection Result - IA (Immediate Action), FA (Future Action), OK
Additional Work Perform
Technician Findings -  Spares/Labour
Pause / Hold Reason - Waiting for Parts, Waiting for Advisor, Waiting for Customer Approval, Technician Not Available, External Work Pending, Lunch Break, Tea Break, System Hold
Rework Reason - Parts Poor Quality, Labour Poor Quality, Incomplete Work, Missed Task, Customer Complaint, Supervisor Instruction/Feedback
Delay Reason - Tool Not Available, Electric Power Not Available, Additional Diagnosis Required
Work Completion Type - Fully Completed, Partially Completed, Deferred
Additional Inspection Photo / Phot Evidence - Front View, Rear View, Left Side, Right Side, Damage Photo, Fault Evidence
Inspection Order Status - Assignment pending, Assigned, Work In Progress, Work On Hold, Completed, Cancelled…
Dashboard - Pending Inspections, Active Inspections, Completed Inspections, Cancelled Inspections
","Assign technician, mark official job start time, bay allocation.",VIO History
